algorithm,primal_lb,gap_pct,instance,status,time_elapsed,rnd_seed,num_items,num_classes,optimal
compact,972619.0,0.6321538161746167,mgayqw_800_20,feasible,3600.000441074372,mgayqw,800,20,False
mckp,1013289.0,0.0,silbpw_800_100,feasible,226.704813989,silbpw,800,100,True
mckp,975825.0,0.0,kbjkis_400_20,feasible,63.440441229,kbjkis,400,20,True
mckp,501724.0,0.0,ymctvg_800_20,feasible,44.228347523,ymctvg,800,20,True
mckp,1003309.0,0.0,tndwpg_1200_20,feasible,95.042782637,tndwpg,1200,20,True
mckp,1012233.0,0.0,gxvpgf_600_100,feasible,163.43801196799998,gxvpgf,600,100,True
mckp,505766.0,0.0,saiuzs_800_20,feasible,45.093859573,saiuzs,800,20,True
mckp,502765.0,0.0,bcwuat_400_20,feasible,69.725802016,bcwuat,400,20,True
compact,999222.0,0.402700174123074,njlsjj_800_20,feasible,3600.000445127487,njlsjj,800,20,False
mckp,1001981.0,0.0,eqncbc_800_20,feasible,46.819188444000005,eqncbc,800,20,True
mckp,974529.0,0.0,fmvvvl_600_20,feasible,71.503476131,fmvvvl,600,20,True
compact,1003808.0,0.0640463356323419,wvlvra_1000_100,feasible,3600.000696182251,wvlvra,1000,100,False
mckp,1004226.0,0.0,dnfshm_400_20,feasible,72.459594008,dnfshm,400,20,True
compact,1004596.0,6.283847011675322e-05,savgfg_600_20,feasible,0.3209631443023681,savgfg,600,20,True
mckp,974600.0,0.0,eyheuh_1200_20,feasible,53.342641571,eyheuh,1200,20,True
compact,1005453.0,9.94575584760715e-05,nvmiqd_1200_100,feasible,0.2202789783477783,nvmiqd,1200,100,True
mckp,1012955.0,0.0,wyngng_1200_100,feasible,334.68708726700004,wyngng,1200,100,True
compact,1010394.0,9.897119443386004e-05,gnpsfe_400_100,feasible,0.1027441024780273,gnpsfe,400,100,True
compact,1002906.0,9.430647234577193e-05,wwebjn_400_20,feasible,0.3869609832763672,wwebjn,400,20,True
mckp,972540.0,0.0,zswojk_600_20,feasible,70.71750753,zswojk,600,20,True
compact,974631.0,0.0,qdhgug_800_20,feasible,0.1625509262084961,qdhgug,800,20,True
mckp,1010636.0,0.0,objmzg_600_100,feasible,178.023092373,objmzg,600,100,True
compact,998215.0,9.67245992372694e-05,zamzpb_400_20,feasible,0.6780529022216797,zamzpb,400,20,True
mckp,1001630.0,0.0,oibttc_1200_20,feasible,54.606874824,oibttc,1200,20,True
compact,1016606.0,9.83664287182756e-05,epngbw_1000_100,feasible,0.0803999900817871,epngbw,1000,100,True
mckp,1016606.0,0.0,epngbw_1000_100,feasible,164.427327519,epngbw,1000,100,True
compact,1015844.0,9.844021479654868e-05,wtiozt_1200_100,feasible,8.675359010696411,wtiozt,1200,100,True
mckp,1003202.0,0.0,kvuhjg_1000_20,feasible,45.476986835,kvuhjg,1000,20,True
mckp,1004310.0,0.0,iatdfg_400_20,feasible,70.318484285,iatdfg,400,20,True
compact,1001480.0,9.98521190117436e-05,thhscj_600_20,feasible,0.0856440067291259,thhscj,600,20,True
compact,1017258.0,9.830338193124856e-05,ltxabf_1000_100,feasible,0.1749129295349121,ltxabf,1000,100,True
mckp,1004557.0,0.0,pfrawo_600_20,feasible,88.56986853,pfrawo,600,20,True
compact,999976.0,0.1488601542863831,vemhyg_600_20,feasible,3600.00040102005,vemhyg,600,20,False
mckp,1000635.0,0.0,ijfgfx_1000_100,feasible,367.238026941,ijfgfx,1000,100,True
compact,1004379.0,9.956391007387642e-05,olulvl_600_100,feasible,0.1919810771942138,olulvl,600,100,True
compact,1003982.0,7.491478415274342e-05,nrvift_400_20,feasible,0.3074071407318115,nrvift,400,20,True
mckp,976441.0,0.0,kwphyl_800_20,feasible,44.985789682,kwphyl,800,20,True
compact,970715.0,2.0128636755925835,telskb_1200_20,feasible,3600.0007870197296,telskb,1200,20,False
compact,976559.0,0.0,ffrpeh_1200_20,feasible,0.0670459270477294,ffrpeh,1200,20,True
compact,1012830.0,9.87331548896114e-05,fxipuu_1200_100,feasible,0.1156671047210693,fxipuu,1200,100,True
compact,1004170.0,0.0,hmqlnu_400_20,feasible,0.2135770320892334,hmqlnu,400,20,True
mckp,1017075.0,0.0,oepmph_1000_100,feasible,195.843523906,oepmph,1000,100,True
mckp,1012095.0,0.0,cpxwpg_1200_100,feasible,205.792927797,cpxwpg,1200,100,True
compact,1001553.0,0.0,ezrfei_1000_20,feasible,0.073009967803955,ezrfei,1000,20,True
compact,503843.0,0.0,rtuwls_1000_20,feasible,0.0069880485534667,rtuwls,1000,20,True
