algorithm,primal_lb,instance,status,time_elapsed,num_items,num_classes,repetition,pisinger_R,knapsack_generator,optimal
mckp,882867.0,span_weakly_correlated_1000-rnduniform-rnduniform-2000-100-2,feasible,10.564178486,2000,100,2,1000,span_weakly_correlated,True
mckp,255097.0,subset_sum_1000-rnduniform-rnduniform-1000-100-7,feasible,2.68904413,1000,100,7,1000,subset_sum,True
compact,801975.0,uncorrelated_10000-rnduniform-rnduniform-200-20-9,feasible,0.0061938762664794,200,20,9,10000,uncorrelated,True
mckp,5546250.0,mstr_10000-rnduniform-rnduniform-2000-20-8,feasible,1901.436924759,2000,20,8,10000,mstr,True
mckp,834888.0,uncorrelated_1000-rnduniform-rnduniform-2000-100-9,feasible,10.357207597,2000,100,9,1000,uncorrelated,True
mckp,363759.0,mstr_1000-rnduniform-rnduniform-1000-100-1,feasible,1.693758707,1000,100,1,1000,mstr,True
compact,271582.0,weakly_correlated_1000-rnduniform-rnduniform-1000-100-5,feasible,0.0592720508575439,1000,100,5,1000,weakly_correlated,True
compact,6754775.0,almost_strongly_correlated_10000-rnduniform-rnduniform-2000-20-9,feasible,0.6761279106140137,2000,20,9,10000,almost_strongly_correlated,False
compact,6287297.0,almost_strongly_correlated_10000-rnduniform-rnduniform-2000-100-5,feasible,9.861310958862305,2000,100,5,10000,almost_strongly_correlated,False
mckp,75043.0,mstr_1000-rnduniform-rnduniform-200-20-3,feasible,0.436190392,200,20,3,1000,mstr,True
compact,118077.0,subset_sum_1000-rnduniform-rnduniform-500-20-2,feasible,0.0053761005401611,500,20,2,1000,subset_sum,True
mckp,896926.0,span_weakly_correlated_1000-rnduniform-rnduniform-2000-20-8,feasible,97.313544482,2000,20,8,1000,span_weakly_correlated,True
compact,3924772.0,span_strongly_correlated_10000-rnduniform-rnduniform-2000-100-9,feasible,0.1666769981384277,2000,100,9,10000,span_strongly_correlated,True
mckp,245541.0,profit_ceiling_1000-rnduniform-rnduniform-1000-20-4,feasible,31.65688407,1000,20,4,1000,profit_ceiling,True
mckp,245369.0,almost_strongly_correlated_10000-rnduniform-rnduniform-100-20-1,feasible,1.666482059,100,20,1,10000,almost_strongly_correlated,True
compact,2826054.0,weakly_correlated_10000-rnduniform-rnduniform-1000-100-6,feasible,0.2054719924926757,1000,100,6,10000,weakly_correlated,False
mckp,10117457.0,circle_10000-rnduniform-rnduniform-2000-20-6,feasible,3358.23549294,2000,20,6,10000,circle,True
